Result,Count
100000001011010000010100001011,1
010000001011001010010101010010,1
010000001111010000101100100001,1
100000000011010000110100011011,1
000000001110011000010101100011,1
000000001111001000010100000011,1
010000001011011010000101100010,1
000000000011010010011100010010,1
000000001111001010110101111011,1
000000001011011010011001001010,1
000000001111010000111100010010,1
010000000111001000100100100011,1
000000001011010000101100111011,1
000000000011001000110101010011,1
010000001110001000110100001011,1
000000000011011000100000101010,1
000000000111010010100100010011,1
000000001011001010011100001010,1
100000001011000000100101100010,1
010000001111011010111100010011,1
000000001011010010001101000011,1
000000001011011000001100100010,1
000000001011001010010101001010,1
000000000011011000110100010011,2
000000001011001000110101000001,1
100000000111011000110101001011,1
010000001011010010000101100010,1
000000001011010000001101101010,1
000000000011001010110101101010,1
010000001111000000110101000011,1
000000000111001010100100000011,1
110000000011010010111100101010,1
110000000111011010110101111010,1
000000001111000000101000100011,1
000000001111000000011100111010,1
010000001110000000100100011010,1
000000001111001000111101001010,2
010000001111011000010000000011,1
000000000010011000011100011010,1
010000000111001000110101101011,1
010000001011000000110000100010,1
000000000011001010100101101010,1
110000000011000010100101101011,1
000000000011010000101101001010,1
010000000011011010111101101011,1
010000001111010010100000100011,1
000000001111000000011101100011,1
000000000011010010110000101010,1
000000001111000000110001000011,1
000000001010011010010101100011,1
010000001010010000111100001010,1
100000001111010000100100001010,2
000000000111010000001101001011,1
010000001110010010110100101010,1
100000000111010000101101000010,1
100000001011011000110101111010,1
010000000011000010101101101011,1
010000000011010010110101100000,1
010000000111000010100100010010,1
000000001111010000100100110010,1
100000000011010000100101000011,1
000000001111000010100100110011,1
010000000011010010010100100010,1
000000000111001010111100001011,1
010000001001010010100101100011,1
110000001111001000110100001010,1
010000000111010010000101101011,1
000000000011010010001100100011,1
010000001011011010101100000011,1
010000001111001010100100001010,2
100000001011011000110101000011,2
000000001011011010111101111011,1
000000000111000010100101000011,1
010000000111010000011101001010,1
010000001110001000100100101010,1
000000000011000000001100001010,1
100000001011011010100101111010,1
010000001011001010100101000011,1
110000001111000000111100101011,1
110000001011010010100000101010,1
010000001010011000100100101010,1
000000000011010010111101101011,2
100000001111010010000100101010,1
110000001111010010010101000010,1
000000000111001010101101000011,1
010000001111010000101101100000,1
110000000010011010111100100011,1
000000000011000010101101101010,1
010000000111011010001100001011,1
000000001101001000100101000011,1
000000001101010010100000100010,1
000000001011011000001101111011,1
000000000111011000100100010010,1
000000001111000010110000111010,1
010000001011000010101101001011,1
000000001011010010101101001011,1
000000001011011000000101100011,1
100000001111011010101101010010,1
000000000111011010010101100010,1
100000001111010000101100100011,1
100000001111010010111100101010,1
000000001110010000011000101010,1
010000000011000000111100100010,1
010000001111000000110100010011,1
100000001111011010000101110010,1
010000001111011010110001010010,1
000000001111011000011101001011,1
010000001011000010000100111010,1
010000001111010010110100010011,1
000000001011001010110101011010,1
110000000011011000100101100010,1
110000001001000010100101100011,1
100000001101011010111100101010,1
010000000111000010110101110011,1
010000001111000000010100101010,2
000000000111001000100100110010,1
100000001111010000011101101010,1
100000001111010000111100010011,1
010000001011001000101100111011,1
000000000011011010000100001011,1
010000001111011010010001101010,1
110000001111000010100100110011,1
000000000111001000100100010011,1
000000001111010000011001001011,1
000000001111001000110001101011,1
110000001111011000100101000010,1
000000001011001000011101101010,1
100000001111011010010101110011,1
100000000011011010001101110010,1
010000001011000010111101101010,1
000000000101011000001100100011,1
000000001001011010101101001010,1
010000001111001010000100100011,1
110000000111011000110101100010,1
000000000111001000000101100010,1
010000001010011000110100101010,1
100000000111010000000100101011,1
100000001111001000110100110011,1
000000000111000000100101101010,1
010000001011001000111101001011,1
000000001011011010010100111011,1
100000001111010010001100100011,1
010000000011010010100100101011,1
010000000011011000100100011010,1
010000000011010000111101101010,1
000000000011010000001100101011,1
010000000011010010010101101010,1
010000001011001000110101101010,1
010000000101011000101100001010,1
000000001111001000010100111011,1
000000001001010000100001011011,1
010000001011000010110101010010,1
100000000011001010010100000010,1
000000001111011010000101001010,1
000000000011010010101100111011,1
000000001111000000111101011010,1
010000001001010010110100101010,1
000000000111000000100100101010,1
000000000011001010101101000010,1
010000000111001000110101101010,1
100000000011000000110100110010,1
100000000011001000000101011011,1
010000000111011000101101001011,1
110000000111011000101100100010,1
010000001011010000010001101011,1
010000001111000010001101001010,1
010000000011011000101100110011,1
010000001011000010101100010011,1
000000001011011010100001000010,1
010000001011001000101101111011,1
000000000111000010111101001011,1
000000001111011010110000010010,1
100000001011011010001101001010,1
110000001011011010011100100010,1
000000000011011010010101100011,1
100000001011001010001101001010,1
000000000110010010101101100011,1
010000000111010000011101001011,1
000000001011010000101001000011,1
100000001111011010000100100011,1
100000001011011000000101111010,1
010000001111011010110100011010,1
000000001011011000111100010011,1
010000001111010000010001101010,1
000000000011000010111101100010,1
000000001011000000101101011011,1
010000001011000000100101011010,1
010000001111000010111101101011,1
010000000001011010111101100011,1
000000000011010010101100100010,1
100000000111010000000100010011,1
000000000011011010110100110001,1
010000001111000010110100111010,1
110000000011011000101100101011,1
000000001111011000010101110011,1
010000000010011010000100111011,1
000000001111000000100101110010,1
100000001011010000010101000011,1
110000001111001000010101000010,1
010000001010010000000100001010,1
000000000011011010000001101011,1
100000001111010000110101010010,1
010000001011010000110101011010,1
010000001001010000011101111010,1
000000000011011000010100101010,2
100000001101011000100000000010,1
110000000111010010111100100011,1
000000001101000010001100101011,1
010000000011010010100101000011,1
000000001111011010000100110011,1
010000001011010010101101000011,1
000000001111001010110100111011,1
010000000011000000100100101010,1
100000001011010000000101001011,1
000000001010010010010101101011,1
000000001111010000100000011011,1
010000000111001010100101000011,1
010000000011010000001100110001,1
010000000111011010000100101011,1
000000001011011000111101010010,1
000000000111010010101001101010,1
010000001011000010111101110011,1
010000001110011010100101001010,1
000000001111011000010100111010,1
010000000011011000111000101011,1
010000001011000000001100101011,2
000000001110010000101000010010,1
010000001011011000101100101010,1
010000001011000000110101010010,1
010000001011011000110100010011,1
000000001111011010010000101011,1
010000001011011010001100111010,1
010000001011010000110001010011,1
100000000111010000100100001010,1
010000000111000000101100101011,2
100000001111000000111100100010,1
100000001001011010001100000010,1
010000001001010010000100000010,1
010000001101000000101100100011,1
000000001111010010011101110010,1
000000001101010010010101000010,1
100000001111011010100100101010,1
100000001111010000110100101010,1
000000000111001010111100101010,2
000000001011010000100101110010,1
000000001111001000111101101010,1
000000000101011000110101100011,1
110000000011011000111101000011,1
110000001111010010100100000011,1
110000001011000010101101000010,1
010000000111011010110101100010,2
010000001011011010001101100011,2
010000000110011000100100100000,1
010000001111001010100100100010,1
000000000111010010011100110011,1
100000001111011010101100001010,2
010000001011001010010100100010,1
000000000111011000111101110011,1
000000001011011000110101110011,1
110000001011011000101100100010,1
000000000111001000110100101011,1
000000001111000010010101101010,1
010000001011010000000101011010,1
000000001011011010111101110011,1
100000001111010000101101001010,2
000000000111010000000101100010,1
010000000011001000110101111011,1
000000000011010010101100100011,3
100000001011010010100100001011,1
000000001011000000101001110010,1
010000001011001010000100101011,1
010000000111011000100101011011,1
000000000110011010100100000011,1
110000001111011000111100000010,1
100000001111010010101101111011,1
000000001010011010110100000011,1
100000001110011010101001101011,1
010000001111000000101100000010,1
010000001111001010001100100011,1
000000001111001000110100010011,1
110000001111011010110100101010,2
000000001011001010101101101010,1
000000000011001010000100100010,1
100000001111010010100100001010,1
000000001011011000010100100010,3
000000000111000010001100110011,1
000000000111010000111001110011,1
010000001111001010101100011010,1
010000001011011010100101111011,1
000000001111011000110000011001,1
000000001111000010110101001011,2
000000000111011010100000111011,1
100000000010010000101100001011,1
000000001111001000101100100010,3
010000000011011010111100000010,1
010000001011001000011100101010,1
000000001111001010101100000011,1
000000001011010010111000001010,1
010000000011011010100000000010,1
010000001111011000010101001010,2
010000000111010010111101001010,1
000000000110011000110100001010,1
010000000011011000000100010010,1
010000000011011010110100101011,1
010000000111000010110100100010,1
010000001101010000010100001011,1
000000001011000000000000010010,1
100000001111010000000100000011,1
000000000010011000100100000011,1
000000000001011010110100000010,1
100000001011010000110101000010,1
100000000111011000001101001011,1
100000000111011010110101010010,1
100000001011011000110101011010,2
010000001111000000110100101010,1
010000001010010010110100000011,1
000000000011000000100100100011,1
010000001011010010000100100011,2
000000001111001000000100000011,1
100000000111011010010100101010,1
010000000011000010110101101011,1
000000001011000010100100101011,3
010000000111000000111100110011,1
010000000011010010100000101000,1
000000000011011000000101010011,1
110000001111010000110100001010,1
010000000011011000000100011011,1
010000001111000010100100010010,1
000000001011000010101100011010,1
010000000111010010011100101010,1
000000001011001010011101100011,1
000000001011010000101101010010,1
010000001011011010000101000010,2
000000001011001010000101001010,1
000000001111000010100001000010,1
100000001111010000101100011011,1
000000001111001000010101101010,2
110000001111000010110100000010,1
010000001101001010010101010010,1
000000000111000000101100001011,2
000000000011010010100101101010,1
000000000101001000001101001011,1
010000001101001000110101100011,1
100000001011011000010101100011,1
110000000111000010110101100011,1
010000001111000010010101000011,1
010000001101011010110101000010,1
000000001111000010101101100011,1
000000001011010010101100111010,1
010000000001010000111100100011,1
100000001101001010100101011010,1
010000000011000000000100000010,1
100000001111001000100100101010,1
010000001001011000111100101010,1
000000001110011000011101000011,1
000000001011000000110100000010,3
100000001111011000101100000011,2
000000000011011010101101000010,1
000000000111011010100101000010,1
000000000011010010100100110011,1
000000001001010000101100101010,1
110000001110011000101101101010,1
010000001111001010011100100011,1
000000001111000000101100101010,1
000000000011000010110101010010,1
010000000111010010000101101010,1
010000001011000000010100101011,1
000000001101010010110101101010,1
010000000001011010010100001011,1
110000001011010000011100101011,1
100000001111010010110101000011,1
000000000011001000010000000010,1
110000001111010010110100011010,1
010000001011011000011101111010,1
010000000101010010010100101011,1
000000001011011010111101111010,1
010000001011010010000101101011,1
110000001110011000101100001010,1
000000001111001010110101001010,2
000000000011011000010101100010,1
100000001011011000000100101011,1
010000001001011000110100110010,1
000000000111010000001101101011,1
010000001011001010001100101011,1
100000001011011010101100100010,1
010000001011011000101100110011,1
010000001111011010100001011011,1
000000000111011000101101000010,1
000000001111011000000101001001,1
110000000010011000100100001011,1
010000000110000010100100101010,1
010000001001001000000100100011,1
000000000111011000000100001010,2
010000000111011010001100001010,1
100000000011000000100101001010,1
110000001110010000100100000011,1
000000001011001000111100101000,1
010000001011001000010100100011,1
000000001011001010001100001011,1
100000001111011010101101100010,2
010000001011011000101000000010,1
100000000111010010110101101010,1
010000001111011000000100100011,1
010000000011010000100101110011,1
000000001011011000100100111010,1
010000001011000000100100000010,2
010000000011011010100101101011,1
010000001011001000100101010010,1
000000000111000010111100000011,1
000000000111001010011101000010,1
100000001001010000110100101010,1
010000001111001010100101011010,1
100000001111000000100101000011,1
000000001101010000110101011011,1
010000001111010000010100010011,1
000000001011010010110101010010,1
100000001111011000100101000011,1
000000000011011000010100010011,1
010000001011010000100100011010,1
010000000011001010101100001011,1
000000001011011000010000100010,1
100000001111001000111000101011,1
100000001001010010101101000011,1
010000000011010000110100011010,1
000000000011011010100101110011,1
000000001011010010000101011011,1
000000001011011000110000101010,1
100000001011011000000100000010,1
000000000111010000110100000001,1
110000000011011000100100101011,1
000000001111011000010100011011,1
000000000111001000101101001010,1
110000001011000000100100101010,1
000000000011000000000100001010,1
000000001010001010100101000011,1
000000000111011000000101110010,1
010000001111010000010101111011,1
010000001011010000110000001011,1
000000001011001010001100000010,1
000000000111000010100100011010,1
000000001011001010100101001010,2
000000001111000010100101101011,2
000000001111000010001101001011,1
000000000110011010001100101010,1
010000001011010010110100101000,1
110000000011010000010101001011,1
010000000011010010001100001011,1
000000001101011000000100101011,1
100000001011000000100101001011,1
110000001011011000101101101010,1
000000001111000010010101100011,1
000000000011010010101101001011,1
100000000111010000100101000010,2
110000001011000000000100101010,1
000000001111011000101101110011,1
010000001111001000011101001010,1
100000001011011000111100000011,1
010000001011010010110101001011,1
000000001011001000001101101010,1
000000001010000000000101100010,1
010000001011001000111100000011,1
010000000011011010101100101011,1
110000001011011000010100001010,1
100000001011000000100101000011,1
000000000011001000101100000010,1
000000001111000010101000001010,1
000000001111010000101101001000,1
000000000111000010100100001010,2
000000001011011010101100110011,2
100000001011010000000101101011,1
000000000111011010110101011011,2
010000000111000010111100100011,1
000000001101000010111000100010,1
000000001111011000010000100011,1
000000001110011000000100010010,1
010000000011010010001101100011,1
000000001011001000010100100011,1
110000001011010000011100100011,1
100000001011011000110101100010,1
100000001011011000010101001010,1
000000000111010000001101100011,1
010000000111010010111101001011,1
010000001010001010110101011010,1
000000001011000000011101100011,1
010000000011010010100100111010,1
100000001011011010101101100011,1
000000000111011010110100000011,1
010000001111010000010100101011,1
010000001011010000001100110011,1
100000001011011010110101100011,3
010000001010010010101101011011,1
000000001011010000010100010011,1
000000000111001000110101010010,1
100000001011010000111100001011,1
110000001011001000010100000011,1
000000001011001010110101001011,2
100000001111000000011100111010,1
010000000011010010100101010010,1
010000000011000000100100111010,1
000000000111001000001100011011,1
010000000111001010100101110011,1
100000000111000010110101101011,1
000000000011010010101100001011,3
110000001111010010000100111010,1
000000001001011000010100110011,1
000000001111001010110000000010,1
000000001101011000110100011010,1
000000001011001010010101001011,1
100000000011010000110101000010,1
000000001011011010101101100011,1
100000001011000000110100011011,1
000000001011001010101101001001,1
000000000111001000011101101010,1
010000000011010010100101100010,1
000000000111000000111101000011,1
010000001011000010100101111011,1
100000001011001000111100000011,1
010000000011011010100101000010,1
100000001111010000100100101010,2
010000001111000000111101110011,1
110000001011010010101100101011,1
100000001011001010000100101010,1
000000000111010010011101101011,1
000000001101011000010101001011,1
100000000111001000010101101011,1
010000000110011000011101001011,1
010000001111011010000100100010,2
010000000011011010100100101010,2
000000001111011010110000000010,1
010000001111010010100101110010,1
000000001011000000110101010011,1
000000001011011010101101001011,2
110000001111010000010100101011,1
000000001011001010111001100011,1
110000000111001010000101100011,1
010000000111001010100101010010,1
000000000011001000010100000011,1
010000001011010010001100101011,1
100000001111010000101100000001,1
110000001111000000101101100010,1
000000000011011000110100110010,1
000000001010011010111100100011,1
000000001101010010100100101011,2
100000000011011000101100100010,1
010000000011010000010100101010,1
010000001111000010100100100010,1
010000001011001000110101011010,1
000000001111001000000101100010,1
100000000111010010001100100011,1
010000000111011000011101010010,1
010000001111001000010101101011,1
000000000011010000110000101011,1
000000000111001010100101100011,1
000000000111001010110100001011,2
100000000111010000111100001010,1
000000000011011010000100100011,1
000000000111010000000101000011,1
010000001011010010100101110010,1
010000001111010000001100111011,1
010000001111001000110101111010,1
010000001110011010110101101010,1
010000001011011010100001101010,1
000000000111010000100001101011,1
010000001111011000001101000011,1
010000001011001000110101111011,1
010000001001010000000101001011,1
100000000011010010000100100010,1
010000001110011000110100101010,2
100000000011011000100101101011,1
010000001111011000100101010011,1
000000000111010000100100010011,1
010000001101001000101100000010,1
010000001011010010110000000011,1
000000000101011000101100100010,1
000000001101001010110100000011,1
000000000111010000011101001010,1
100000001110011010100100100010,1
000000001101010000100000100011,1
100000001011010010000101101010,2
010000001011010000001100001011,1
100000001111011000011100101011,1
100000000011011010101100000011,1
010000000011001010010100001010,1
110000001011010000111101000011,2
010000001011011000000100111010,1
010000001011001000111101001001,1
010000000111011010100100101010,1
110000001011010010100100101010,1
000000001111010000001100010010,1
010000001011011000011100000011,1
010000001110011000111101100010,1
000000001111001010010100011011,1
010000001011010010110101011011,2
000000000011001010100100001011,1
010000000011010010101101000010,1
000000001110010000100101101010,1
000000000111010000011101110010,1
100000001011001000010000001011,1
000000001011000010100101001010,1
000000000111001010001000100011,1
010000001011011000110100111011,1
010000000111010000101101110011,1
110000001011001000100100000011,1
010000000011001000010101001010,1
110000000111011010010100100011,1
000000001111001010001101100011,1
000000001011011000011101001010,1
000000001011011000000100101011,3
010000001001010010100100101011,1
000000001111000010010101110011,1
110000001011011010001100001011,1
000000000111001000100101000011,1
010000001111001010001100000011,1
000000000111000010110101101011,1
000000001011011000011101100011,2
100000001011010000101100101011,1
000000001111010000101100111010,1
110000001111010000000101001010,1
010000000111010010100101010010,1
000000001111000010010100100010,1
010000001111010010000100001011,2
100000001011000000000101011011,2
000000000111010000011100000011,1
010000000110010000110101001011,1
000000001111001000110100001011,2
010000000011010010101100010010,2
000000001111001010110100101011,1
010000001111011010111100000000,1
100000001011010000101101101011,1
000000001011010000000100011011,1
010000000110011000010101001011,1
000000001010000010011100010010,1
010000001011001010101100000010,3
000000001011010000100100100001,1
000000000111010000111101101010,4
100000000011001010100100000010,1
010000001111000010000101101011,1
100000000111000000110101001010,1
000000001111010000000101110010,1
010000000111010000010100101010,2
000000001001011000111100001010,1
010000001011001010001101100011,1
010000000011001010000101100010,1
100000001001010000110100000011,1
010000001011010000010100011010,1
000000001111001000010101000011,2
000000000111001000110100000010,1
010000001111000010110100100010,1
110000000111010000100100101011,1
010000001111011010000100101011,2
000000001111000010100100010011,1
010000001011011010100001100011,1
010000001011011010110000100010,1
010000000111010000010101100011,1
010000000111010010000100101010,1
000000000010000010110101100010,1
000000001011010010111101011010,1
100000001101010000110000000011,1
100000001011010010110100101011,2
010000001011010000001000100011,1
010000000011000000001100001010,1
010000001011010000111101100010,2
100000001011010000111100010010,1
000000001011001000111101001010,1
010000001111010010100101101010,4
000000000011001000111100001010,1
100000001111000010111100101011,1
000000001011000000100100011011,1
000000001111001010111101001011,2
100000001101010000101101100010,1
110000001011000000110100101011,1
100000000110011000101101100011,1
000000000011001000100101110011,1
010000000111011010111101001010,2
000000001111011010011100010010,1
010000000011010010110101111010,1
010000000111001000101100100010,2
010000000111001000111101010010,1
000000001111011000110100001000,1
000000001011000000100000001010,1
010000001111001010101100000010,2
100000001011010000010101101011,1
100000001011010000111101001011,1
000000001111001000110100011011,1
010000001110011000010101101010,1
100000001011011010101101001011,1
000000001111001010111100100011,1
100000000111001010111100110011,1
100000001001011000110100101011,1
000000001011010000100101110011,1
110000000011010010000000000010,1
010000001011011010111100010011,1
000000001111010010110100100001,1
000000000011011000010000001010,1
000000000011001010100100100010,1
000000001110001010111100100010,1
110000001011011000001101100011,1
100000001111011010100101001011,1
100000001011001010000101001011,1
000000001011010010000101000010,1
010000001011010010000100100010,2
000000000011011000101101100010,2
000000000011001000000101001010,1
000000001011000000101100111011,1
000000001011000010111100001011,3
010000000111011000110100101011,1
110000001011010000101100000011,1
010000001011000010101100110010,1
000000001011011010101101000011,3
000000000011001000100100101011,2
110000000011010010100100000011,1
000000001111011010111101101010,1
110000001011011010000100000011,1
110000000011001010001100001011,1
010000001111010000100001100011,1
110000001011001000001101100011,1
010000001001010010100100100010,1
010000001111010000110101111010,1
010000001011000000001101001010,1
010000001011010010100101110011,1
010000001011001010011101001011,1
010000001011011010101101100010,2
000000001011011010111101011011,1
010000001101010000011100001010,1
000000001001010000100100011000,1
000000000110010000101100100010,1
000000000011010010110000100011,1
000000001111011010100100110011,2
010000001011010010111101011011,1
000000000111001000100100101011,1
010000000111000010110100000010,2
000000001101011010111101101011,1
000000001011011000010101010011,1
000000001111010010101101100011,4
110000001111011010000101101011,1
000000000111000010010101111011,1
000000001011000010100101011010,1
000000000111001010101101101011,1
010000001111001000111101101010,2
010000000011000010100101010010,1
010000000111010010001100100010,1
100000000011010000111100001011,2
000000000111011000111100111011,1
000000000011000010000100000011,1
000000001110010000010100100010,1
000000000011011010101101101010,1
000000000011001000011101001011,1
000000001111001010101100101010,1
000000000011001000101101100000,1
000000001111010010001101000000,1
010000000011011010101100001010,1
000000000111011000001100001011,1
100000001110001000110100101011,1
000000000111011010001101000001,1
000000000111011010010100110010,1
010000001011011000001101000011,1
010000000110000000110100111011,1
010000001011010000110101110010,1
010000000111010010011100000011,1
100000001011000000100101101010,1
000000001011000000010100110011,1
100000000111000010100100000011,1
010000000111010010100100000011,1
010000000010011010000100000010,1
000000000011000010000100001011,1
100000001011000000111100000011,1
000000001011001010111101101010,1
010000001011011000010101001011,2
000000001011010010100100010011,1
110000000111011010110100010010,1
000000000001011000111100101010,1
000000001011001000010101001010,2
010000000010000000010101000010,1
000000000111010000010101101010,1
010000000111011010111101101011,1
110000001111011000100100001011,1
000000000111011000001101101011,1
000000001011010000000101000010,1
100000001011010010101100111011,1
010000001111000000111101101011,1
010000001111001010110100110010,2
000000000111001010001100001011,1
000000001110010000110100100011,1
000000001111010010011000001010,1
000000001001011010010101100010,1
010000000010010000000100101011,1
000000001111000010111101000011,2
000000001111010010011100000010,2
000000001001000000111101100011,1
110000001111010010011101000011,1
000000000011000010110100001011,1
000000000111010000000101011011,1
010000000111011010110100100001,1
110000001111000010111101101011,1
000000000011011010010100000010,2
100000001110010000110100001010,1
010000000001010010010100100010,1
010000001111010010001001001011,1
000000001001001000010101011011,1
010000001111011000101101010010,2
000000000011011010010100100010,1
000000001011010010100100110010,1
000000001011001010000101101010,2
000000000010011010111101001011,1
010000000111001000011100000010,1
010000001011011010110100010011,1
010000000111001010100101101010,1
000000000111000000100100111011,1
000000001111001000010101101011,1
010000000011011010000100101010,2
000000001111000010001100000010,1
010000001011011000000101000010,3
000000001111000010101100101011,2
010000000011000000011101100011,1
110000001111010000100101100011,1
110000001111011010101101001010,1
110000000111011000011100000011,1
100000001011011000010101100010,2
010000001011010000110101101010,2
010000000011001000101100010011,1
000000001111010010110100110010,1
000000000011011010011000001011,1
000000001111011000100100000000,1
000000000011011010100101001011,2
110000000011011010101101101011,1
010000001111001010010100100011,2
000000001111010010000001001011,1
000000001011001010110000100011,1
010000001101010000101100000011,2
000000001111010000101000001010,1
000000000011010000101001101010,1
010000001111001010001100101010,1
100000001011010000011101001010,1
000000001111011010001000000010,1
100000001011011000011101101011,2
000000001110011010010100000010,1
100000001011011000100100100010,2
000000001011010010010101110011,1
010000001011001010110100111011,1
000000001001010000001100000011,1
000000000111011010010100100011,2
110000000111011010110101100011,2
110000001010011000110100100011,1
010000000011011000101100001011,1
010000000011001010011100000010,1
110000000111010010100101110011,1
000000001011000000010101100011,1
010000000111000000101101000010,1
110000001111011000111100000011,1
000000000111011010100101100010,2
000000000011000010111100010000,1
000000000111001000110100010011,1
010000001011000000101101001010,2
010000001111010000010100011011,1
100000001011010010101100001011,1
000000001001011000111101000010,1
010000000011010000001101101010,1
010000001111011010111100110011,1
010000001010000000111100001011,1
110000001011011000110101000001,1
010000001001010000110100101011,1
010000000111010000110100101010,1
000000000111000000100101001011,1
000000001111011010001101100010,2
000000000011011010101100100000,1
010000001001001010011100001010,1
000000001101011010111000101010,1
000000000111001010110101101010,1
100000000011001000101100010011,1
100000000111011000100100000010,1
000000001011001000100100010011,1
110000001011010010110100001011,1
010000000111010000010100111010,1
010000001011010010011101001010,2
010000001001011010101100000010,1
010000000111011000110101101010,1
000000000111011000110101001010,2
010000001011001010011100111011,1
010000000111001000100100001011,1
000000000001010010000100001010,1
010000001111000010111100001011,1
000000001011010010101101010010,1
010000001111010000100100010010,1
010000001111011000111100110001,1
010000001111010010001101101010,1
000000000011010010110001001011,1
000000001011000010110101100010,2
010000000011000010011101001011,1
100000001011001000111101000010,1
010000001111010000100001001011,1
100000000111001010011101100011,1
010000000111011000100000001010,1
000000000011010010110100101010,2
000000001011010000010100100010,3
000000001010000010110100001010,1
000000001111011000011101101010,5
000000001101011000111100001010,1
110000001100010000111100100011,1
110000001111000010111100101011,1
000000001011001000100100000011,1
000000000111000000001100000011,1
000000001111001010100101101011,1
010000000111011010110100100010,2
000000000011011000101100000010,2
000000001011001010001100100011,1
110000001011010000110101011010,1
010000000011011010011101100010,1
100000000111000000010100001010,1
000000000101001000100101011010,1
010000001000011000101100000011,1
000000001111000010010100000010,1
010000000011011000001101101010,1
110000001011010000101100001011,1
100000001011010010001100101011,1
000000001111010000110101010011,1
010000001011001000100101100011,3
000000001111000000101101000010,1
000000000011011010111101101010,2
010000001011000010011100100010,1
100000001011011010110100001011,1
010000001011000010101100100010,3
000000001111010010010101001010,2
010000001111010000001101101010,1
000000001001010000100100000010,1
000000001101001000000100000010,1
000000001111001000110000000011,1
110000000111001010000100100011,1
